movie_id,movie_title,source_file_path,year,decade,movie_len,n_scenes
0,aliens,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/aliens.txt,1985,1980,27022,189
1,americanpsycho,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/americanpsycho.txt,2000,2000,20104,57
2,buffythevampireslayer,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/buffythevampireslayer.txt,1992,1990,22254,123
3,dragmetohell,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/dragmetohell.txt,2009,2000,17154,75
4,eightleggedfreaks,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/eightleggedfreaks.txt,2002,2000,17418,195
5,finaldestination,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/finaldestination.txt,2000,2000,23594,142
6,freddyvs.jason,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/freddyvs.jason.txt,2003,2000,24336,131
7,fridaythe13thpartviiijasontakesmanhattan,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/fridaythe13thpartviiijasontakesmanhattan.txt,1989,1980,23407,196
8,ghostship,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/ghostship.txt,2002,2000,23529,260
9,gingersnaps,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/gingersnaps.txt,2000,2000,21012,129
10,gremlins,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/gremlins.txt,1984,1980,17358,73
11,grudgethe,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/grudgethe.txt,2004,2000,19842,52
12,halloweenthecurseofmichaelmyers,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/halloweenthecurseofmichaelmyers.txt,1995,1990,22003,147
13,hannibal,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/hannibal.txt,2001,2000,30502,63
14,houseof1000corpses,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/houseof1000corpses.txt,2003,2000,20088,129
15,insidious,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/insidious.txt,2010,2000,20828,155
16,interviewwiththevampire,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/interviewwiththevampire.txt,1994,1990,21873,138
17,jasonx,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/jasonx.txt,2001,2000,20928,200
18,jennifersbody,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/jennifersbody.txt,2009,2000,22024,101
19,jurassicpark,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/jurassicpark.txt,1993,1990,29929,81
20,legion,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/legion.txt,2010,2000,21283,96
21,manhunter,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/manhunter.txt,1986,1980,25843,124
22,mulhollanddrive,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/mulhollanddrive.txt,2001,2000,20627,95
23,mummythe,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/mummythe.txt,1999,1990,26576,104
24,nightmareonelmstreetthefinalchapter,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/nightmareonelmstreetthefinalchapter.txt,1991,1990,24213,90
25,orphan,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/orphan.txt,2009,2000,28579,185
26,petsematary,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/petsematary.txt,1989,1980,26794,629
27,ringu,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/ringu.txt,1998,1990,15868,90
28,scream,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/scream.txt,1996,1990,21186,104
29,shiningthe,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/shiningthe.txt,1980,1980,21005,231
30,signs,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/signs.txt,2002,2000,22191,82
31,silenceofthelambs,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/silenceofthelambs.txt,1991,1990,29887,134
32,silverbullet,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/silverbullet.txt,1985,1980,23701,506
33,sixthsensethe,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/sixthsensethe.txt,1999,1990,22518,92
34,slither,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/slither.txt,2006,2000,21796,195
35,thingthe,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/thingthe.txt,1982,1980,21595,174
36,whenastrangercalls,/Users/theothormann/Desktop/Data Science/Spring/DS5001/PossibleCorpus/imsdb_raw_nov_2015/HorrorSeen/whenastrangercalls.txt,2006,2000,19009,111
